4,13,0.39615714
4,29,0.109975856
4,31,0.130818597
4,33,0.133263378
5,20,0.769822775
11,14,0.764983197
11,27,0.123259203
11,29,0.370347996
11,31,0.306340464
11,33,0.308526228
11,37,0.297081346
15,13,0.373676755
15,37,0.137128034
17,5,0.870971385
17,14,0.155881913
19,4,0.146192748
19,18,0.25786943
22,11,0.79746147
24,10,0.40576516
24,14,0.509782895
24,23,0.614632861
26,4,0.137472981
26,11,0.249594441
26,13,0.238365923
26,14,0.201426436
26,15,0.303100174
26,22,0.100199258
26,23,0.155444872
26,27,0.366254896
26,29,0.343108826
26,31,0.249159111
26,33,0.28511929
26,37,0.290849893
27,13,0.195801284
27,14,0.107553133
27,23,0.114086889
31,14,0.296516493
31,23,0.224766106
31,29,0.318501393
33,13,0.141700731
33,24,0.167401059
35,14,0.280951843
35,26,0.380807923
36,15,0.109504189
36,23,0.107642443
36,26,0.104373108
36,29,0.130563977
36,31,0.155705958
36,33,0.177420774
36,37,0.778660751
37,14,0.11047705
37,23,0.136200268
37,29,0.715759605
37,31,0.307694795
37,33,0.193104629
38,4,0.151238538
38,23,0.788582067
38,24,0.452194619
38,26,0.137041044
38,31,0.362757032
38,33,0.337592415
